station_id,dataset,parameter,date,value,quality
K2635,large,temperature_air_mean_200,2023-12-11T05:00:00+00:00,281.45,
K2635,large,temperature_air_mean_200,2023-12-11T06:00:00+00:00,281.55,
K2635,large,temperature_air_mean_200,2023-12-11T07:00:00+00:00,281.85,
K2635,large,temperature_air_mean_200,2023-12-11T08:00:00+00:00,282.05,
K2635,large,temperature_air_mean_200,2023-12-11T09:00:00+00:00,282.05,
K2635,large,temperature_air_mean_200,2023-12-11T10:00:00+00:00,282.45,
K2635,large,temperature_air_mean_200,2023-12-11T11:00:00+00:00,282.75,
K2635,large,temperature_air_mean_200,2023-12-11T12:00:00+00:00,283.05,
K2635,large,temperature_air_mean_200,2023-12-11T13:00:00+00:00,283.25,
K2635,large,temperature_air_mean_200,2023-12-11T14:00:00+00:00,283.05,
K2635,large,temperature_air_mean_200,2023-12-11T15:00:00+00:00,282.65,
K2635,large,temperature_air_mean_200,2023-12-11T16:00:00+00:00,282.25,
K2635,large,temperature_air_mean_200,2023-12-11T17:00:00+00:00,281.85,
K2635,large,temperature_air_mean_200,2023-12-11T18:00:00+00:00,280.95,
K2635,large,temperature_air_mean_200,2023-12-11T19:00:00+00:00,280.75,
K2635,large,temperature_air_mean_200,2023-12-11T20:00:00+00:00,280.15,
K2635,large,temperature_air_mean_200,2023-12-11T21:00:00+00:00,280.15,

