station_id,resolution,dataset,parameter,date,value,quality,station_id,resolution,dataset,parameter,date,value,quality,station_id,resolution,dataset,parameter,date,value,quality,station_id,resolution,dataset,parameter,date,value,quality
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T07:00:00.000000+00:00,14.2,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T07:00:00.000000+00:00,0.66,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T07:00:00.000000+00:00,0.27,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T07:00:00.000000+00:00,-272.55,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T08:00:00.000000+00:00,14.3,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T08:00:00.000000+00:00,0.66,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T08:00:00.000000+00:00,0.3,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T08:00:00.000000+00:00,-272.45,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T09:00:00.000000+00:00,14.9,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T09:00:00.000000+00:00,0.67,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T09:00:00.000000+00:00,0.31,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T09:00:00.000000+00:00,-272.35,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T10:00:00.000000+00:00,15.6,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T10:00:00.000000+00:00,0.65,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T10:00:00.000000+00:00,0.27,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T10:00:00.000000+00:00,-272.05,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T11:00:00.000000+00:00,16.4,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T11:00:00.000000+00:00,0.66,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T11:00:00.000000+00:00,0.32,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T11:00:00.000000+00:00,-272.05,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T12:00:00.000000+00:00,17.0,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T12:00:00.000000+00:00,0.65,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T12:00:00.000000+00:00,0.27,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T12:00:00.000000+00:00,-271.95,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T13:00:00.000000+00:00,17.6,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T13:00:00.000000+00:00,0.59,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T13:00:00.000000+00:00,0.19,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T13:00:00.000000+00:00,-271.75,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T14:00:00.000000+00:00,18.3,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T14:00:00.000000+00:00,0.52,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T14:00:00.000000+00:00,0.1,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T14:00:00.000000+00:00,-271.65,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T15:00:00.000000+00:00,18.6,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T15:00:00.000000+00:00,0.53,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T15:00:00.000000+00:00,0.1,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T15:00:00.000000+00:00,-271.55,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T16:00:00.000000+00:00,18.6,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T16:00:00.000000+00:00,0.46,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T16:00:00.000000+00:00,0.07,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T16:00:00.000000+00:00,-271.75,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T17:00:00.000000+00:00,18.6,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T17:00:00.000000+00:00,0.4,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T17:00:00.000000+00:00,0.07,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T17:00:00.000000+00:00,-271.85,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T18:00:00.000000+00:00,18.5,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T18:00:00.000000+00:00,0.34,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T18:00:00.000000+00:00,0.05,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T18:00:00.000000+00:00,-272.05,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T19:00:00.000000+00:00,18.1,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T19:00:00.000000+00:00,0.27,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T19:00:00.000000+00:00,0.02,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T19:00:00.000000+00:00,-271.85,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T20:00:00.000000+00:00,17.6,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T20:00:00.000000+00:00,0.2,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T20:00:00.000000+00:00,0.02,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T20:00:00.000000+00:00,-272.05,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T21:00:00.000000+00:00,17.0,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T21:00:00.000000+00:00,0.17,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T21:00:00.000000+00:00,0.01,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T21:00:00.000000+00:00,-272.35,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T22:00:00.000000+00:00,16.5,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T22:00:00.000000+00:00,0.13,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T22:00:00.000000+00:00,0.01,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T22:00:00.000000+00:00,-272.35,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T23:00:00.000000+00:00,16.3,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T23:00:00.000000+00:00,0.11,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T23:00:00.000000+00:00,0.01,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T23:00:00.000000+00:00,-272.45,
K2635,hourly,small,temperature_air_mean_2m,2026-06-13T00:00:00.000000+00:00,15.9,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-13T00:00:00.000000+00:00,0.08,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-13T00:00:00.000000+00:00,0.01,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-13T00:00:00.000000+00:00,-272.55,
K2635,hourly,small,temperature_air_mean_2m,2026-06-13T01:00:00.000000+00:00,15.5,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-13T01:00:00.000000+00:00,0.04,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-13T01:00:00.000000+00:00,0.01,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-13T01:00:00.000000+00:00,-272.35,
K2635,hourly,small,temperature_air_mean_2m,2026-06-13T02:00:00.000000+00:00,15.4,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-13T02:00:00.000000+00:00,0.04,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-13T02:00:00.000000+00:00,0.01,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-13T02:00:00.000000+00:00,-272.15,
K2635,hourly,small,temperature_air_mean_2m,2026-06-13T03:00:00.000000+00:00,15.3,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-13T03:00:00.000000+00:00,0.02,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-13T03:00:00.000000+00:00,0.0,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-13T03:00:00.000000+00:00,-272.35,
K2635,hourly,small,temperature_air_mean_2m,2026-06-13T04:00:00.000000+00:00,15.6,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-13T04:00:00.000000+00:00,0.03,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-13T04:00:00.000000+00:00,0.01,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-13T04:00:00.000000+00:00,-272.25,
K2635,hourly,small,temperature_air_mean_2m,2026-06-13T05:00:00.000000+00:00,16.2,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-13T05:00:00.000000+00:00,0.03,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-13T05:00:00.000000+00:00,0.0,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-13T05:00:00.000000+00:00,-272.35,
K2635,hourly,small,temperature_air_mean_2m,2026-06-13T06:00:00.000000+00:00,17.3,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-13T06:00:00.000000+00:00,0.04,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-13T06:00:00.000000+00:00,0.01,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-13T06:00:00.000000+00:00,-272.35,
