station_id,resolution,dataset,parameter,date,value,quality
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-29T19:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-29T20:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-29T21:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-29T22:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-29T23:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T00:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T01:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T02:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T03:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T04:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T05:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T06:00:00.000000+00:00,0.02,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T07:00:00.000000+00:00,0.02,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T08:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T09:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T10:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T11:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T12:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T13:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T14:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T15:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T16:00:00.000000+00:00,0.02,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T17:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T18:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T19:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T20:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T21:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T22:00:00.000000+00:00,0.02,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-30T23:00:00.000000+00:00,0.02,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-31T00:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-31T01:00:00.000000+00:00,0.01,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-31T02:00:00.000000+00:00,0.01,

